speed-factor,time,e
1.0,1.61,0.833446
1.1,1.87,0.862256
1.2,2.12,0.883446
1.3,2.39,0.901272
1.4,2.64,0.914368
1.5,2.93,0.92654
1.6,3.18,0.935064
1.7,3.44,0.942446
1.8,3.71,0.948856
1.9,3.97,0.954067
2.0,4.22,0.958361
2.1,4.47,0.96208
2.2,4.76,0.965802
2.3,5.01,0.968588
2.4,5.27,0.971139
2.5,5.53,0.973392
2.6,5.8,0.975463
2.7,6.05,0.977172
2.8,6.33,0.978883
2.9,6.55,0.980096
3.0,6.84,0.981541
3.1,7.1,0.982707
3.2,7.35,0.983727
3.3,7.61,0.984695
3.4,7.9,0.985676
3.5,8.13,0.986389
3.6,8.4,0.987159
3.7,8.67,0.987866
3.8,8.9,0.988424
3.9,9.17,0.98903
4.0,9.45,0.98961
4.1,9.69,0.990071
4.2,9.96,0.990555
4.3,10.24,0.991019
4.4,10.47,0.991376
4.5,10.77,0.99181
4.6,11.04,0.992173
4.7,11.28,0.992476
4.8,11.55,0.992796
4.9,11.8,0.993075
5.0,12.07,0.993358
5.1,12.33,0.993615
5.2,12.55,0.99382
5.3,12.84,0.994077
5.4,13.1,0.994293
5.5,13.35,0.99449
5.6,13.65,0.994714
5.7,13.86,0.994862
5.8,14.16,0.995063
5.9,14.42,0.995228
6.0,14.65,0.995368
6.1,14.92,0.995523
6.2,15.19,0.995671
6.3,15.44,0.995802
6.4,15.72,0.995941
6.5,15.97,0.99606
6.6,16.24,0.996183
6.7,16.5,0.996295
6.8,16.76,0.996403
6.9,17.02,0.996506
7.0,17.27,0.996601
7.1,17.53,0.996696
7.2,17.82,0.996797
7.3,18.06,0.996877
7.4,18.31,0.996957
7.5,18.62,0.997053
7.6,18.85,0.99712
7.7,19.1,0.997192
7.8,19.39,0.997271
7.9,19.62,0.997332
8.0,19.91,0.997405
8.1,20.18,0.997471
8.2,20.41,0.997525
8.3,20.68,0.997586
8.4,20.93,0.997641
8.5,21.19,0.997696
8.6,21.45,0.997749
8.7,21.73,0.997804
8.8,21.97,0.99785
8.9,22.24,0.997899
9.0,22.52,0.997949
9.1,22.78,0.997994
9.2,23.0,0.99803
9.3,23.29,0.998077
9.4,23.54,0.998116
9.5,23.81,0.998157
9.6,24.05,0.998192
9.7,24.32,0.99823
9.8,24.6,0.998269
9.9,24.84,0.998301
10.0,25.12,0.998337
